hidden_size,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
100,Tianjin(10kTEU),"[[ 486.03293]
 [ 621.6672 ]
 [ 810.5328 ]
 [ 899.1246 ]
 [ 947.83734]
 [ 977.90674]
 [1185.3873 ]
 [1296.9911 ]
 [1350.2142 ]
 [1402.6981 ]
 [1480.3896 ]]","[[ 480.10004]
 [ 595.     ]
 [ 817.60004]
 [ 850.     ]
 [ 869.99994]
 [1008.     ]
 [1158.0001 ]
 [1230.     ]
 [1301.0001 ]
 [1406.1001 ]
 [1411.     ]]",3.7316032431342383,45.38739,"[[1479.8882]
 [1471.3853]
 [1456.9622]
 [1436.7489]]","[[1507.    ]
 [1600.0001]
 [1730.    ]
 [1835.    ]]",11.83076947927475,250.21513
100,Rotterdam(10kTEU),"[[ 927.0113]
 [ 991.638 ]
 [1041.0178]
 [1069.3486]
 [1067.7529]
 [1053.2584]
 [1139.7471]
 [1215.8618]
 [1215.3134]
 [1203.1472]
 [1236.9034]]","[[ 930.00006]
 [ 965.50006]
 [ 990.     ]
 [1080.     ]
 [ 974.3    ]
 [1114.5    ]
 [1187.6    ]
 [1186.5    ]
 [1162.1    ]
 [1229.8    ]
 [1223.     ]]",3.512917323545976,45.50698,"[[1240.8925]
 [1303.2212]
 [1339.0763]
 [1353.3127]]","[[1373.    ]
 [1450.9999]
 [1481.9999]
 [1435.    ]]",8.78572091460228,128.83215
100,Kelang(10kTEU),"[[ 578.0015 ]
 [ 618.3812 ]
 [ 723.6376 ]
 [ 822.9761 ]
 [ 798.5267 ]
 [ 823.0897 ]
 [ 909.69336]
 [1000.2324 ]
 [1049.2692 ]
 [1092.5007 ]
 [1171.9314 ]]","[[ 554.4    ]
 [ 632.6    ]
 [ 731.2    ]
 [ 797.     ]
 [ 730.9    ]
 [ 887.     ]
 [ 960.30005]
 [ 999.99994]
 [1035.     ]
 [1094.6    ]
 [1189.     ]]",3.2322842966426504,34.653454,"[[1523.5905]
 [1605.3373]
 [1387.8597]
 [1582.2013]]","[[1373.]
 [1232.]
 [1358.]
 [1324.]]",15.742936730384827,239.59221
100,Kaohsiung(10kTEU),"[[ 953.1665 ]
 [ 970.3235 ]
 [ 960.73413]
 [ 966.7233 ]
 [ 948.7399 ]
 [ 918.9801 ]
 [ 965.2579 ]
 [ 952.4854 ]
 [ 961.4785 ]
 [ 980.9562 ]
 [1041.9369 ]]","[[ 947.0999 ]
 [ 977.49994]
 [ 919.99994]
 [ 967.7    ]
 [ 858.1    ]
 [ 918.1    ]
 [ 963.5999 ]
 [ 978.1    ]
 [ 993.8    ]
 [1059.3    ]
 [1026.     ]]",2.868572148409757,40.519566,"[[1029.727 ]
 [1012.2844]
 [1028.809 ]
 [1026.0548]]","[[1027.     ]
 [1045.     ]
 [1042.     ]
 [ 962.00006]]",2.830161154270172,36.58811
100,Dalian(10kTEU),"[[ 281.60196]
 [ 339.74118]
 [ 412.06076]
 [ 501.65924]
 [ 491.80917]
 [ 494.8199 ]
 [ 620.9776 ]
 [ 813.98956]
 [1007.4095 ]
 [ 999.80396]
 [ 997.46875]]","[[ 265.1    ]
 [ 321.2    ]
 [ 464.2    ]
 [ 450.29996]
 [ 455.2    ]
 [ 524.2    ]
 [ 640.     ]
 [ 806.     ]
 [ 991.2001 ]
 [1001.10004]
 [ 945.     ]]",5.414787205782804,32.500168,"[[1006.92755]
 [1004.8048 ]
 [1003.15344]
 [ 992.63495]]","[[ 970.     ]
 [ 977.00006]
 [1021.     ]
 [ 653.99994]]",15.044975280761719,171.12051
100,Hanburg(10kTEU),"[[801.0097 ]
 [894.183  ]
 [930.12476]
 [956.15076]
 [802.7619 ]
 [801.3916 ]
 [885.45294]
 [937.5317 ]
 [930.1712 ]
 [953.02966]
 [806.0645 ]]","[[808.8    ]
 [886.2    ]
 [936.     ]
 [973.7    ]
 [700.7    ]
 [789.99994]
 [901.39996]
 [886.3    ]
 [930.2    ]
 [973.     ]
 [882.     ]]",3.501478108492764,42.7012,"[[932.3537]
 [930.0319]
 [923.9951]
 [952.922 ]]","[[886.     ]
 [873.     ]
 [929.99994]
 [870.     ]]",5.485401302576065,55.48293
100,Antwerp(10kTEU),"[[649.6706 ]
 [715.07733]
 [827.6953 ]
 [864.3308 ]
 [859.30804]
 [855.85187]
 [862.8647 ]
 [859.30804]
 [859.87067]
 [860.8686 ]
 [964.0853 ]]","[[648.2   ]
 [701.9   ]
 [835.5   ]
 [866.4   ]
 [730.9001]
 [846.8   ]
 [866.4   ]
 [863.3   ]
 [857.8   ]
 [897.8   ]
 [965.    ]]",2.4758916009556162,40.686188,"[[1356.9312]
 [1508.4164]
 [1748.5757]
 [1748.5757]]","[[1045.]
 [1110.]
 [1110.]
 [1204.]]",42.12577939033508,489.99445
100,Xiamen(10kTEU),"[[349.51678]
 [395.4754 ]
 [461.67535]
 [515.0343 ]
 [546.8472 ]
 [518.598  ]
 [644.62244]
 [725.89655]
 [813.92004]
 [883.3223 ]
 [931.36127]]","[[334.2    ]
 [401.9    ]
 [462.70004]
 [503.39996]
 [468.00003]
 [582.     ]
 [645.     ]
 [720.1    ]
 [800.8    ]
 [857.2001 ]
 [918.     ]]",3.9509564638137817,32.635387,"[[1007.72656]
 [1061.9728 ]
 [1035.2053 ]
 [1114.0662 ]]","[[1038.     ]
 [ 999.99994]
 [1112.     ]
 [1141.     ]]",4.595085978507996,53.338467
100,Tanjung(10kTEU),"[[440.88837]
 [457.37555]
 [519.6487 ]
 [596.3088 ]
 [606.8101 ]
 [650.4959 ]
 [704.473  ]
 [792.7759 ]
 [812.82513]
 [804.72614]
 [908.43774]]","[[417.7    ]
 [476.99997]
 [550.     ]
 [560.     ]
 [601.6    ]
 [653.     ]
 [752.     ]
 [770.     ]
 [762.8    ]
 [855.     ]
 [910.     ]]",4.073178768157959,31.63102,"[[878.06665]
 [889.31525]
 [951.6018 ]
 [965.90173]]","[[838.     ]
 [896.     ]
 [910.     ]
 [984.99994]]",3.009455092251301,30.60014
100,Los Angeles(10kTEU),"[[780.439  ]
 [810.89844]
 [717.4556 ]
 [774.094  ]
 [800.8932 ]
 [778.6713 ]
 [801.39575]
 [800.88354]
 [800.86884]
 [800.8912 ]
 [800.8408 ]]","[[748.5]
 [847. ]
 [710.3]
 [785. ]
 [726.1]
 [783.1]
 [794. ]
 [807.8]
 [786.9]
 [834. ]
 [816. ]]",2.8347939252853394,29.742628,"[[418.41583 ]
 [-18.70819 ]
 [-41.715206]
 [ 80.98997 ]]","[[943.00006]
 [945.99994]
 [930.     ]
 [920.     ]]",88.32228183746338,844.692
